nohup: 忽略输入
self.max_w 2433.836842105263
Environment initialized Obs: 40
Episode: 1	Reward: -0.7	Goal: 0 	Done Type: done_ball_out 	Epi_step: 3 
Episode: 2	Reward: 25.7	Goal: 0 	Done Type: done_ball_out 	Epi_step: 50 
Episode: 3	Reward: -5.22	Goal: 0 	Done Type: done_ball_out 	Epi_step: 23 
Episode: 4	Reward: -4.7	Goal: 0 	Done Type: done_ball_out 	Epi_step: 25 
Episode: 5	Reward: -4.75	Goal: 0 	Done Type: done_left_out 	Epi_step: 29 
Episode: 6	Reward: 2.77	Goal: 0 	Done Type: done_robot_out 	Epi_step: 23 
Episode: 7	Reward: 28.14	Goal: 1 	Done Type: done_goal 	Epi_step: 12 
Episode: 8	Reward: -4.92	Goal: 0 	Done Type: done_left_out 	Epi_step: 5 
Episode: 9	Reward: -4.74	Goal: 0 	Done Type: done_left_out 	Epi_step: 5 
Episode: 10	Reward: 26.51	Goal: 0 	Done Type: done_ball_out 	Epi_step: 38 
Episode: 11	Reward: -4.57	Goal: 0 	Done Type: done_left_out 	Epi_step: 6 
Episode: 12	Reward: -4.02	Goal: 0 	Done Type: done_left_out 	Epi_step: 4 
Episode: 13	Reward: -0.43	Goal: 0 	Done Type: done_left_out 	Epi_step: 8 
Episode: 14	Reward: -4.9	Goal: 0 	Done Type: done_left_out 	Epi_step: 9 
Episode: 15	Reward: 1.04	Goal: 0 	Done Type: done_left_out 	Epi_step: 32 
Episode: 16	Reward: 19.92	Goal: 0 	Done Type: done_ball_out 	Epi_step: 52 
Episode: 17	Reward: -6.29	Goal: 0 	Done Type: done_left_out 	Epi_step: 7 
Episode: 18	Reward: -1.77	Goal: 0 	Done Type: done_robot_out 	Epi_step: 29 
Episode: 19	Reward: 19.93	Goal: 0 	Done Type: done_ball_out 	Epi_step: 44 
Episode: 20	Reward: -4.6	Goal: 0 	Done Type: done_left_out 	Epi_step: 19 
Episode: 21	Reward: 22.68	Goal: 0 	Done Type: done_ball_out 	Epi_step: 51 
Episode: 22	Reward: -4.27	Goal: 0 	Done Type: done_left_out 	Epi_step: 6 
Episode: 23	Reward: 2.27	Goal: 0 	Done Type: done_ball_out 	Epi_step: 22 
Episode: 24	Reward: 16.43	Goal: 0 	Done Type: done_ball_out 	Epi_step: 47 
Episode: 25	Reward: 0.68	Goal: 0 	Done Type: done_left_out 	Epi_step: 24 
Episode: 26	Reward: -5.17	Goal: 0 	Done Type: done_left_out 	Epi_step: 34 
Episode: 27	Reward: -8.14	Goal: 0 	Done Type: done_left_out 	Epi_step: 29 
Episode: 28	Reward: -4.86	Goal: 0 	Done Type: done_left_out 	Epi_step: 12 
